Product,Franchise Code,Date,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Profit,Sales,Total Expenses
Amaretto,UN234,8/1/2018,90,130,100,220,89,777,130,24,94,219,36
Amaretto,UN330,11/1/2018,50,70,30,120,54,312,66,20,13,120,53
Amaretto,UN330,5/1/2018,90,120,80,210,78,965,92,24,47,170,45
Amaretto,UN440,10/1/2018,110,70,30,180,95,608,50,30,-2,145,52
Amaretto,UN513,12/1/2018,70,110,40,180,63,435,87,57,1,150,86
Amaretto,UN513,6/1/2018,10,30,20,40,18,821,27,5,11,45,16
Amaretto,UN614,9/1/2018,30,50,30,80,38,241,55,12,20,93,35
Amaretto,UN614,7/1/2018,60,80,50,140,60,336,80,19,34,140,46
Amaretto,UN740,4/1/2018,60,90,50,150,72,558,108,23,53,180,55
Amaretto,UN740,1/1/2018,70,100,70,170,84,500,116,26,66,200,50
Amaretto,UN937,3/1/2018,40,60,40,100,46,777,68,12,44,114,24
Amaretto,UN937,2/1/2018,210,220,150,430,228,1459,228,63,140,456,88
Amaretto,IT603,12/1/2018,50,70,20,120,58,338,72,22,16,130,56
Amaretto,IT603,11/1/2018,10,30,20,40,17,777,26,4,11,43,15
Amaretto,IT603,10/1/2018,60,90,10,150,75,522,105,68,8,180,97
Amaretto,IT603,9/1/2018,40,60,40,100,48,623,62,15,35,110,27
Amaretto,IT603,8/1/2018,20,30,0,50,29,169,36,11,-8,65,44
Amaretto,IT603,7/1/2018,70,110,90,180,89,777,130,24,95,219,35
Amaretto,IT603,6/1/2018,60,90,70,150,54,456,80,15,54,134,26
Amaretto,IT603,5/1/2018,20,40,40,60,32,456,48,8,28,80,20
Amaretto,IT603,4/1/2018,100,-50,-170,50,105,725,-44,95,-172,61,128
Amaretto,IT603,3/1/2018,80,90,50,170,69,965,81,21,38,150,43
Amaretto,IT603,2/1/2018,60,60,-10,120,63,435,63,57,-23,126,86
Amaretto,IT603,1/1/2018,40,60,40,100,49,623,63,16,34,112,29
Amaretto,ME319,9/1/2018,70,100,20,170,75,522,105,68,7,180,98
Amaretto,ME319,7/1/2018,100,140,20,240,105,725,145,95,17,250,128
Amaretto,ME319,1/1/2018,50,80,50,130,60,336,80,19,33,140,47
Amaretto,ME515,4/1/2018,10,40,30,50,17,777,26,4,11,43,15
Amaretto,ME563,11/1/2018,10,30,20,40,18,821,27,5,10,45,17
Amaretto,ME563,10/1/2018,50,100,80,150,67,400,113,20,70,180,43
